OID_,Name,TargetFacilityCount,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproach,Status,SnapX,SnapY,SnapZ,DistanceToNetworkInMeters,Attr_WalkTime,Attr_Length,Cutoff_WalkTime,Cutoff_Length
76,Location 76,,1,22724,0.769763966478719,2,0,0,11890075.417406022548676,-694505.920434627565555,0.000000000000000,28.045337948566171,0.000000000000000,0.000000000000000,,
77,Location 77,,1,27143,0.402954214888617,1,0,0,11888618.623741213232279,-703760.293255676748231,0.000000000000000,20.450658269393696,0.000000000000000,0.000000000000000,,
78,Location 78,,1,27008,0.609322536831781,1,0,0,11888359.358300000429153,-699595.528400000184774,0.000000000000000,67.572912836643496,0.000000000000000,0.000000000000000,,
79,Location 79,,1,24392,0.988410602933723,2,0,0,11889475.342308841645718,-699637.099443144514225,0.000000000000000,44.423615114795410,0.000000000000000,0.000000000000000,,
80,Location 80,,1,24523,0.393575303064599,1,0,0,11889622.463779933750629,-697346.251062847208232,0.000000000000000,16.517493019791559,0.000000000000000,0.000000000000000,,
81,Location 81,,1,18337,0.134536626350802,2,0,0,11887878.445559058338404,-698006.245158388162963,0.000000000000000,41.184374428644006,0.000000000000000,0.000000000000000,,
82,Location 82,,1,23043,0.436306831892137,2,0,0,11883771.045043647289276,-696310.496767135104164,0.000000000000000,70.399459941136470,0.000000000000000,0.000000000000000,,
83,Location 83,,1,29498,0.977965189938064,2,0,0,11893276.672712525352836,-698522.954403057810850,0.000000000000000,1.901272792768168,0.000000000000000,0.000000000000000,,
84,Location 84,,1,21491,0.650970168545748,2,0,0,11895005.377572337165475,-698019.138300237944350,0.000000000000000,16.197551384909623,0.000000000000000,0.000000000000000,,
85,Location 85,,1,19543,0.499745105767332,2,0,0,11893018.623780483379960,-705554.840748830116354,0.000000000000000,48.633360291358088,0.000000000000000,0.000000000000000,,
86,Location 86,,1,21490,0.201208288624072,2,0,0,11891179.404035722836852,-705805.016050574951805,0.000000000000000,91.397871529452601,0.000000000000000,0.000000000000000,,
87,Location 87,,1,21293,0.186166944813924,2,0,0,11889228.455299999564886,-708778.265399999916553,0.000000000000000,74.650387168418050,0.000000000000000,0.000000000000000,,
88,Location 88,,1,20967,0.252237188174686,2,0,0,11884859.332899998873472,-699392.100900001823902,0.000000000000000,57.911552826666309,0.000000000000000,0.000000000000000,,
89,Location 89,,1,41439,0.503941691759958,1,0,0,11896559.577420730143785,-692817.081064928323030,0.000000000000000,52.972821672663471,0.000000000000000,0.000000000000000,,
90,Location 90,,1,42830,0.401270102871870,2,0,0,11894964.116056255996227,-692505.952897543669678,0.000000000000000,66.486613199317873,0.000000000000000,0.000000000000000,,
91,Location 91,,1,41745,0.392021997244007,1,0,0,11896608.246504578739405,-691911.298147140187211,0.000000000000000,22.864405812804993,0.000000000000000,0.000000000000000,,
92,Location 92,,1,35466,0.239135122147278,1,0,0,11900020.755899999290705,-692115.917100001126528,0.000000000000000,156.293509105337279,0.000000000000000,0.000000000000000,,
93,Location 93,,1,37003,0.667711631225450,2,0,0,11899715.205279594287276,-690918.240621321718208,0.000000000000000,2.061014668077808,0.000000000000000,0.000000000000000,,
94,Location 94,,1,35205,0.018046714200187,2,0,0,11898823.705461293458939,-694472.867721556918696,0.000000000000000,50.766090283052499,0.000000000000000,0.000000000000000,,
95,Location 95,,1,36059,0.782464501697721,2,0,0,11897870.182590734213591,-694767.366019855253398,0.000000000000000,70.675091516874957,0.000000000000000,0.000000000000000,,
96,Location 96,,1,32362,0.202262525276578,1,0,0,11897767.891665639355779,-693663.120010814280249,0.000000000000000,35.636508856161917,0.000000000000000,0.000000000000000,,
97,Location 97,,1,32456,0.942526827228946,2,0,0,11896329.713648943230510,-701595.478709889575839,0.000000000000000,24.672635366914541,0.000000000000000,0.000000000000000,,
98,Location 98,,1,33613,0.449572795560089,2,0,0,11897575.561768764629960,-702322.732374523417093,0.000000000000000,26.300384584230120,0.000000000000000,0.000000000000000,,
99,Location 99,,1,41713,0.867066779290109,2,0,0,11894795.596140386536717,-700634.838874313631095,0.000000000000000,29.597475274834519,0.000000000000000,0.000000000000000,,
100,Location 100,,1,39399,0.417246095104740,1,0,0,11896542.914068706333637,-698338.998332590097561,0.000000000000000,19.407718263272187,0.000000000000000,0.000000000000000,,
101,Location 101,,1,40576,0.689542443636992,2,0,0,11894008.419784981757402,-706559.167537985253148,0.000000000000000,77.974040885882644,0.000000000000000,0.000000000000000,,
102,Location 102,,1,30834,0.535872430433925,2,0,0,11901904.420370539650321,-695340.520221264800057,0.000000000000000,15.681415472474804,0.000000000000000,0.000000000000000,,
103,Location 103,,1,34401,0.729089588761648,2,0,0,11900924.382111718878150,-693621.403920337441377,0.000000000000000,24.772080920320494,0.000000000000000,0.000000000000000,,
104,Location 104,,1,38121,0.750669438331923,2,0,0,11904802.660739710554481,-694434.245669734315015,0.000000000000000,12.057840646832995,0.000000000000000,0.000000000000000,,
105,Location 105,,1,41349,0.907198663242621,2,0,0,11898357.080267034471035,-701722.878726498922333,0.000000000000000,10.384070582179032,0.000000000000000,0.000000000000000,,
106,Location 106,,1,33127,0.482266903891106,1,0,0,11897581.510945156216621,-697694.706182076828554,0.000000000000000,120.305662690978977,0.000000000000000,0.000000000000000,,
107,Location 107,,1,40679,0.273285246211884,1,0,0,11897454.464592250064015,-705653.358751225052401,0.000000000000000,22.107312309409110,0.000000000000000,0.000000000000000,,
108,Location 108,,1,43535,0.399451262607697,1,0,0,11899368.859930254518986,-706113.529959319159389,0.000000000000000,2.379357167620453,0.000000000000000,0.000000000000000,,
109,Location 109,,1,15162,0.396781710185370,2,0,0,11893950.122644845396280,-687586.448514823452570,0.000000000000000,19.944013174216540,0.000000000000000,0.000000000000000,,
110,Location 110,,1,13085,0.467520975326993,1,0,0,11894973.113767882809043,-687640.558519638027065,0.000000000000000,16.270904505466639,0.000000000000000,0.000000000000000,,
111,Location 111,,1,42420,0.235008075971925,2,0,0,11897867.034299999475479,-692430.816300000995398,0.000000000000000,80.506466447107982,0.000000000000000,0.000000000000000,,
112,Location 112,,1,45499,0.341424638702767,1,0,0,11899821.494184568524361,-682445.207078703213483,0.000000000000000,38.497921398515295,0.000000000000000,0.000000000000000,,
113,Location 113,,1,2382,0.813408974866886,2,0,0,11887612.284000001847744,-689246.454199999570847,0.000000000000000,21.260776886597775,0.000000000000000,0.000000000000000,,
