OID_,SOURCE_ID,KEPADATAN,Shape_Length,Shape_Area,GiZScore,GiPValue,NNeighbors,Gi_Bin
246,246,11903.000000000000000,13786.542477663446334,6038402.837440780363977,-1.890757658092893,0.058656701763420,5,-1
247,247,16195.000000000000000,9466.519020054376597,4590000.663732502609491,-0.230351524067873,0.817818626648557,6,0
248,248,14762.000000000000000,11619.842959642593996,5794943.425634905695915,-0.121016490686253,0.903677973532787,5,0
249,249,26234.000000000000000,5007.027423736371020,1266219.359625051729381,-0.094518134413965,0.924697577758885,8,0
250,250,34202.000000000000000,5114.151657246533432,1099147.750805158633739,-0.185439205843354,0.852884559918461,7,0
251,251,2713.000000000000000,20118.730805877385137,12974163.359069125726819,-0.282264674736426,0.777740570519545,5,0
252,252,21027.000000000000000,13640.351284761998613,2344839.337095036171377,-1.147542835381523,0.251157359508008,4,0
253,253,16441.000000000000000,14688.652888890301256,4790142.401541424915195,-1.350294835849498,0.176921428192923,5,0
254,254,16501.000000000000000,8887.576936972865951,3373236.839780255686492,-1.171735871519300,0.241303136876375,6,0
255,255,19122.000000000000000,7851.671483060989885,2397621.486359897069633,-1.373435670887040,0.169616946868974,10,0
256,256,17671.000000000000000,11459.998267329816372,2542905.103403050918132,-1.328721535744634,0.183939857188815,10,0
257,257,5999.000000000000000,15301.035366206111576,5467977.144643505103886,-2.182839435614109,0.029047636415611,6,-2
258,258,6458.000000000000000,17062.567343621842156,4567045.716376346535981,-1.605087426512703,0.108474565954353,4,0
259,259,13848.000000000000000,6429.442370881885836,2049410.279174842173234,-1.827296419699400,0.067655213267465,6,-1
260,260,8406.000000000000000,10305.544795745063311,2900511.646048041991889,-1.984052206797585,0.047250020274982,6,-2
261,261,10308.000000000000000,10216.601189947743478,3046303.407552857883275,-1.983661029077635,0.047293640770008,7,-2
262,262,20940.000000000000000,12871.416203169785149,3660897.499223904218525,-1.593999428092729,0.110936162995638,6,0
263,263,7321.000000000000000,9879.792603547277395,3110597.495841782074422,-1.747009394203762,0.080635708584573,10,-1
