OID_,OBJECT_ID,KODE_DESA,DESA,KODE,PROVINSI,KAB_KOTA,KECAMATAN,DESA_KELUR,JUMLAH_PEN,JUMLAH_KK,LUAS_WILAY,KEPADATAN,Shape_Length,Shape_Area,Point_Count
67,25530.000000000000000,3174031001,MAMPANG PRAPATAN,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,MAMPANG PRAPATAN,22650.000000000000000,7256.000000000000000,0.790000000000000,28682.000000000000000,4350.866731437236012,780594.175769355613738,2
68,25531.000000000000000,3174031002,BANGKA,317403.000000000000000,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,BANGKA,26261.000000000000000,8823.000000000000000,3.200000000000000,8210.000000000000000,8690.286068440522286,3161327.255408013239503,0
69,25538.000000000000000,3174041004,RAGUNAN,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,48260.000000000000000,15571.000000000000000,4.720000000000000,10224.000000000000000,12355.550430746299753,4664573.810745279304683,3
70,25539.000000000000000,3174041005,PEJATEN TIMUR,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,71144.000000000000000,22567.000000000000000,2.920000000000000,24362.000000000000000,15245.109301366825093,2886262.673409999813884,0
71,25540.000000000000000,3174041006,PEJATEN BARAT,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,45297.000000000000000,14483.000000000000000,3.020000000000000,14984.000000000000000,10572.382868688688177,2987770.860473304055631,1
72,25541.000000000000000,3174041007,KEBAGUSAN,317404.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,54249.000000000000000,17036.000000000000000,2.750000000000000,19709.000000000000000,7396.993161580629021,2720076.415762224700302,0
73,25542.000000000000000,3174051001,KEBAYORAN LAMA UTARA,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,52421.000000000000000,16958.000000000000000,1.990000000000000,26403.000000000000000,9420.855569194482086,1962372.700233778450638,1
74,25544.000000000000000,3174051003,CIPULIR,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,48638.000000000000000,15495.000000000000000,1.890000000000000,25711.000000000000000,7097.739686317037922,1869818.485811791848391,3
75,25546.000000000000000,3174051005,GROGOL SELATAN,317405.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,54015.000000000000000,17223.000000000000000,3.150000000000000,17122.000000000000000,10171.583914980605186,3118363.599096770398319,1
76,25558.000000000000000,3174071006,SENAYAN,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SENAYAN,3408.000000000000000,1230.000000000000000,1.450000000000000,2355.000000000000000,6165.972811992549396,1430671.709601896815002,3
77,25550.000000000000000,3174061003,PONDOK LABU,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,55767.000000000000000,17149.000000000000000,3.550000000000000,15708.000000000000000,10177.506717370133629,3447236.815001999493688,0
78,25551.000000000000000,3174061004,GANDARIA SELATAN,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,GANDARIA SELATAN,26710.000000000000000,8674.000000000000000,1.620000000000000,16501.000000000000000,6396.098813064400929,1599795.029347555711865,0
79,25552.000000000000000,3174061005,CIPETE SELATAN,317406.000000000000000,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,32280.000000000000000,10629.000000000000000,2.410000000000000,13415.000000000000000,6813.655400107028981,2378227.268515803851187,0
80,25559.000000000000000,3174071007,PULO,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,PULO,6776.000000000000000,2250.000000000000000,1.120000000000000,6052.000000000000000,6204.788151026081323,1106708.543306011473760,0
81,25561.000000000000000,3174071009,GANDARIA UTARA,317407.000000000000000,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,48110.000000000000000,15698.000000000000000,1.570000000000000,30709.000000000000000,6048.040147911787244,1548432.077671112259850,0
82,25578.000000000000000,3174101004,PETUKANGAN SELATAN,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,45231.000000000000000,13954.000000000000000,2.130000000000000,21279.000000000000000,6211.681440495151037,2096015.619052710477263,0
83,25564.000000000000000,3174081002,KALIBATA,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,KALIBATA,51670.000000000000000,16430.000000000000000,2.370000000000000,21774.000000000000000,10422.209435396816843,2345495.909936181735247,2
84,25565.000000000000000,3174081003,RAWAJATI,317408.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,RAWAJATI,24671.000000000000000,8580.000000000000000,1.500000000000000,16423.000000000000000,7473.430166534079945,1484853.973611720371991,0
85,25572.000000000000000,3174091004,LENTENG AGUNG,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,65606.000000000000000,20592.000000000000000,3.190000000000000,20548.000000000000000,14140.110639239206648,3153384.849225522018969,0
86,25569.000000000000000,3174091001,JAGAKARSA,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,75047.000000000000000,23205.000000000000000,5.250000000000000,14284.000000000000000,12816.427393230045709,5184626.335635861381888,0
87,25574.000000000000000,3174091006,CIPEDAK,317409.000000000000000,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIPEDAK,45772.000000000000000,13778.000000000000000,4.160000000000000,11002.000000000000000,9357.863929622120850,4050750.697130646556616,0
88,25576.000000000000000,3174101002,BINTARO,317410.000000000000000,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,BINTARO,63832.000000000000000,20047.000000000000000,4.480000000000000,14246.000000000000000,13392.000943686325627,4416284.525733141228557,0
89,25580.000000000000000,3175011001,PISANGAN BARU,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,38845.000000000000000,13019.000000000000000,0.810000000000000,47859.000000000000000,3667.477380908774194,802428.865252827876247,1
90,25584.000000000000000,3175011005,KEBON MANGGIS,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,20178.000000000000000,6980.000000000000000,0.780000000000000,25914.000000000000000,5340.561509539753388,769794.205622656969354,0
91,25585.000000000000000,3175011006,UTAN KAYU SELATAN,317501.000000000000000,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,40810.000000000000000,13315.000000000000000,1.150000000000000,35571.000000000000000,4736.340016935631866,1134254.596320641227067,0
92,25589.000000000000000,3175021004,JATINEGARA KAUM,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,JATINEGARA KAUM,30189.000000000000000,9724.000000000000000,1.320000000000000,22880.000000000000000,7606.523300605839722,1304535.014113147044554,1
93,25592.000000000000000,3175021007,JATI,317502.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PULOGADUNG,JATI,39694.000000000000000,12805.000000000000000,2.090000000000000,18976.000000000000000,6370.976289212151642,2068159.362872812664136,2
94,25598.000000000000000,3175031006,CIPINANG MUARA,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,67965.000000000000000,21914.000000000000000,2.740000000000000,24792.000000000000000,9426.509567702461936,2710091.061387138441205,1
95,25599.000000000000000,3175031007,CIPINANG BESAR SELATAN,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,43554.000000000000000,13816.000000000000000,1.720000000000000,25346.000000000000000,7700.206616585828669,1698749.384010099805892,1
96,25600.000000000000000,3175031008,CIPINANG BESAR UTARA,317503.000000000000000,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,59863.000000000000000,19159.000000000000000,1.110000000000000,54100.000000000000000,5213.473973695548921,1093926.390060213627294,2
97,25602.000000000000000,3175041002,TENGAH,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,TENGAH,54617.000000000000000,17041.000000000000000,2.110000000000000,25907.000000000000000,8230.834262063521237,2083614.964924417901784,1
98,25603.000000000000000,3175041003,DUKUH,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,DUKUH,30640.000000000000000,9520.000000000000000,1.720000000000000,17863.000000000000000,7624.410337656087904,1695269.484058423200622,0
99,25605.000000000000000,3175041005,BALEKAMBANG,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,BALEKAMBANG,35376.000000000000000,10950.000000000000000,1.710000000000000,20722.000000000000000,10753.227976787346051,1687282.921987502835691,0
100,25606.000000000000000,3175041006,CILILITAN,317504.000000000000000,DKI JAKARTA,JAKARTA TIMUR,KRAMATJATI,CILILITAN,49559.000000000000000,16443.000000000000000,1.760000000000000,28113.000000000000000,8401.887797505476556,1742470.255154806887731,3
101,25611.000000000000000,3175051004,KALISARI,317505.000000000000000,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,52424.000000000000000,15632.000000000000000,2.630000000000000,19939.000000000000000,10247.482490617965595,2153483.474433002527803,0
102,25620.000000000000000,3175071001,DUREN SAWIT,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,74118.000000000000000,22836.000000000000000,4.160000000000000,17819.000000000000000,9310.925623080831429,4111956.543425994459540,0
103,25622.000000000000000,3175071003,KLENDER,317507.000000000000000,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,86925.000000000000000,27677.000000000000000,3.030000000000000,28695.000000000000000,9213.187419325584415,2994869.173856133595109,4
